BuurtCode,ActDuur,Leeftijd,AantVpl,AantOVVpl,AantSVpl,FactorH,FactorP,FactorV,HHPers,HHLft1,HHLft2,HHLft3,HHLft4,HHRijbewijsAu,HHRijbewijsMo,HHRijbewijsBr,HHAuto,HHAutoL,OPAuto,HHMotor,OPMotor,HHBrom,OPBrom,HHSnor,OPSnor,BouwjaarPa1,BouwjaarPa2,BouwjaarPaL,AfstandOP,AfstandSOP,AfstV,Sted,FqLopen,FqNEFiets,FqEFiets,FqBTM,FqTrein,FqAutoB,FqAutoP,FqMotor,FqBrSnor,GemGr,KAfstV,BetWerk,KBouwjaarPa1,KBouwjaarPa2,KBouwjaarPaL,KGewichtPa1,KGewichtPa2,KGewichtPaL,BerHalte,BerFam,BerSport,BerWrk,BerOnd,BerSup,BerZiek,BerArts,BerStat,HHLaagInk,HHSocInk,HHBestInkG,HHGestInkG,HHWelvG,KLeeft,HHSam,HHPlOP,OnbBez,MaatsPart,Opleiding,HHBezitVm,OPBezitVm,OVStKaart,Verpl,Doel,MotiefV,KMotiefV,VertLoc,AardWerk,Weggeweest,VolgWerk,KVertTijd,Prov,WrkVerg,MeerWink,OPRijbewijsAu,OPRijbewijsMo,OPRijbewijsBr,HHEFiets,Kind6,CorrVerpl,VergVast,VergKm,VergBrSt,VergOV,VergAans,VergVoer,VergBudg,VergPark,VergStal,VergAnd,ByzAdr,ByzVvm,ByzTyd,ByzDuur,ByzRoute
00140000,173.2,33.17857142857143,4.3125,0.44642857142857145,0.0,276.03698625062833,329.6926315129814,120337.81050223822,1.4732142857142858,0.0,0.0,0.0,1.6339285714285714,1.2053571428571428,0.05357142857142857,1.2678571428571428,0.2857142857142857,0.10714285714285714,0.14285714285714285,0.0,0.0,0.0,0.0,0.0625,0.05357142857142857,2008.5,2010.0,,485.1142857142857,,199.93333333333334,1.0,1.4553571428571428,1.6517857142857142,4.669642857142857,3.2589285714285716,3.125,3.5089285714285716,3.4732142857142856,5.0,4.669642857142857,7.0,5.6,1.375,1.5555555555555556,1.0,,2.2777777777777777,1.0,,1.0560747663551402,1.5225225225225225,1.2211538461538463,1.0975609756097562,1.1176470588235294,1.1081081081081081,1.1181818181818182,1.110091743119266,1.0560747663551402,7.6,8.0,4.256880733944954,4.08256880733945,3.761467889908257,6,1,1,3,4,3,0,0,0,1.0,1.0,1.0,1.0,1.0,12.0,1,9.0,5.0,1,0.4,0.14285714285714285,0.7589285714285714,0.05357142857142857,0.7946428571428571,0.08035714285714286,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6666666666666666,0.0,0.6666666666666666,0.26666666666666666,0.3333333333333333
00140001,169.61111111111111,35.59782608695652,3.7934782608695654,0.20652173913043478,0.0,259.73032350339474,295.9779608651798,108031.95571579064,1.315217391304348,0.0,0.0,0.0,1.315217391304348,1.0108695652173914,0.010869565217391304,1.0108695652173914,0.358695652173913,0.11956521739130435,0.21739130434782608,0.0,0.0,0.0,0.0,0.021739130434782608,0.021739130434782608,2012.7222222222222,2007.0,2010.5454545454545,645.4651162790698,,296.2325581395349,1.0,1.1521739130434783,2.1630434782608696,4.836956521739131,3.4130434782608696,3.4782608695652173,3.6847826086956523,3.8260869565217392,5.0,4.869565217391305,7.0,5.127906976744186,1.1195652173913044,2.2222222222222223,1.0,2.4545454545454546,1.8888888888888888,4.0,3.5454545454545454,1.1071428571428572,1.1978021978021978,1.25,1.0273972602739727,1.032258064516129,1.0,1.0674157303370786,1.0229885057471264,1.0454545454545454,7.641791044776119,8.164179104477611,4.662921348314606,4.808988764044944,4.617977528089888,6,1,1,3,4,4,0,0,0,1.0,1.0,7.0,4.0,4.0,12.0,1,9.0,9.0,1,0.5769230769230769,0.3076923076923077,0.7717391304347826,0.010869565217391304,0.7717391304347826,0.010869565217391304,0.0,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
00140008,122.86206896551724,45.476190476190474,4.285714285714286,0.16666666666666666,0.0,270.2578824834614,311.3188956842816,113631.39692476278,1.3333333333333333,0.047619047619047616,0.047619047619047616,0.0,1.2380952380952381,1.0952380952380953,0.09523809523809523,1.0952380952380953,0.38095238095238093,0.023809523809523808,0.23809523809523808,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0,0.0,2010.3846153846155,1990.0,2019.0,995.6666666666666,,244.51282051282053,1.0,1.6428571428571428,1.7142857142857142,4.809523809523809,4.0476190476190474,3.761904761904762,3.142857142857143,3.7857142857142856,5.0,5.0,7.0,6.9743589743589745,1.6666666666666667,1.8461538461538463,1.0,4.0,2.769230769230769,5.0,2.0,1.0555555555555556,1.0277777777777777,1.0,1.0,1.0,1.0,1.0277777777777777,1.1944444444444444,1.0689655172413792,7.914285714285715,8.6,4.285714285714286,5.0476190476190474,4.761904761904762,7,1,1,0,2,4,0,0,4,1.0,1.0,8.0,6.0,4.0,12.0,1,9.0,8.0,1,0.8947368421052632,0.3333333333333333,0.8571428571428571,0.07142857142857142,0.8571428571428571,0.09523809523809523,0.05128205128205128,0.05128205128205128,0.4117647058823529,0.17647058823529413,0.4117647058823529,,,0.4117647058823529,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0
00140101,190.05555555555554,37.44827586206897,3.1379310344827585,0.20689655172413793,0.0,235.18607508408965,283.44533319096683,103457.5466147029,1.5862068965517242,0.0,0.0,0.0,1.5862068965517242,1.103448275862069,0.2413793103448276,1.103448275862069,0.27586206896551724,0.0,0.27586206896551724,0.13793103448275862,0.13793103448275862,0.0,0.0,0.0,0.0,2009.0,,,121.07142857142857,,50.25,1.0,1.5172413793103448,2.0344827586206895,4.172413793103448,3.586206896551724,3.793103448275862,3.2758620689655173,3.3448275862068964,4.793103448275862,5.0,7.0,4.464285714285714,2.0344827586206895,1.625,,,4.625,,,1.0869565217391304,1.2608695652173914,1.173913043478261,1.0,1.0,1.0,1.0,1.0,1.0,8.0,8.357142857142858,3.2142857142857144,3.4285714285714284,3.392857142857143,7,1,1,0,2,4,0,0,4,1.0,1.0,7.0,4.0,1.0,12.0,1,9.0,5.0,1,0.35714285714285715,0.4,0.8275862068965517,0.2413793103448276,0.8275862068965517,0.2413793103448276,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
00140103,167.67368421052632,39.23741007194245,4.374100719424461,0.302158273381295,0.05755395683453238,210.71254487873895,288.931851446808,105460.12577808491,1.7553956834532374,0.03597122302158273,0.03597122302158273,0.12949640287769784,1.5539568345323742,1.064748201438849,0.1366906474820144,1.079136690647482,0.4244604316546763,0.02877697841726619,0.3237410071942446,0.06474820143884892,0.03597122302158273,0.0,0.0,0.0,0.0,2010.4901960784314,2003.0,2019.0,408.2,120.0,136.80597014925374,1.0,1.5755395683453237,1.79136690647482,4.410071942446043,3.762589928057554,3.4748201438848922,3.5899280575539567,3.4532374100719423,4.9352517985611515,4.827338129496403,7.0,5.522388059701493,1.6978417266187051,2.1372549019607843,1.0,4.0,2.823529411764706,5.0,1.0,1.1206896551724137,1.4,1.2566371681415929,1.0,1.032258064516129,1.0740740740740742,1.141732283464567,1.1496062992125984,1.144,7.6422018348623855,8.440366972477063,5.426470588235294,5.926470588235294,5.507352941176471,7,1,3,0,2,3,0,0,4,1.0,1.0,7.0,7.0,4.0,12.0,1,9.0,13.0,1,0.34523809523809523,0.26666666666666666,0.6546762589928058,0.1079136690647482,0.6690647482014388,0.11510791366906475,0.014925373134328358,0.014925373134328358,0.4827586206896552,0.5172413793103449,0.0,,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.8285714285714286,0.0,0.5142857142857142,0.11428571428571428,0.0
00140107,116.23076923076923,27.767441860465116,3.4651162790697674,0.6744186046511628,0.09302325581395349,224.23700342232516,306.36755366455293,111824.15708756182,1.558139534883721,0.0,0.0,0.46511627906976744,1.8372093023255813,1.1627906976744187,0.046511627906976744,1.1627906976744187,0.7906976744186046,0.18604651162790697,0.13953488372093023,0.023255813953488372,0.0,0.0,0.0,0.023255813953488372,0.0,2011.142857142857,2005.0,2019.0,1439.1463414634147,300.0,679.75,1.0,1.627906976744186,1.1395348837209303,4.8604651162790695,3.883720930232558,3.186046511627907,3.7674418604651163,3.2790697674418605,5.0,4.8604651162790695,7.0,8.275,1.7027027027027026,1.6666666666666667,1.0,4.0,2.6666666666666665,5.0,5.0,1.027027027027027,1.2162162162162162,1.0,1.2571428571428571,1.0,1.027027027027027,1.027027027027027,1.027027027027027,1.027027027027027,7.75,8.6,6.097560975609756,6.048780487804878,5.658536585365853,6,1,1,0,2,4,3,0,0,1.0,1.0,7.0,4.0,1.0,12.0,1,9.0,5.0,1,0.5454545454545454,0.3333333333333333,0.5581395348837209,0.023255813953488372,0.5581395348837209,0.18604651162790697,0.0,0.075,0.08333333333333333,0.16666666666666666,0.0,0.8888888888888888,1.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,0.42105263157894735,0.631578947368421,0.2631578947368421,0.631578947368421
00140200,161.82456140350877,41.096385542168676,4.120481927710843,0.1927710843373494,0.0,244.36714304587903,327.2240899265538,119436.79282319214,2.0120481927710845,0.12048192771084337,0.1927710843373494,0.1927710843373494,1.5060240963855422,1.2891566265060241,0.024096385542168676,1.2891566265060241,0.6987951807228916,0.04819277108433735,0.2891566265060241,0.0,0.0,0.0,0.0,0.0,0.0,2008.962962962963,,2019.0,327.390243902439,,131.65853658536585,1.0,1.4819277108433735,1.216867469879518,4.734939759036145,4.024096385542169,3.7349397590361444,3.5903614457831323,3.3493975903614457,4.855421686746988,5.0,7.0,4.609756097560975,1.7866666666666666,2.2222222222222223,,4.0,3.4814814814814814,,5.0,1.0606060606060606,1.2,1.0579710144927537,1.032258064516129,1.0363636363636364,1.0266666666666666,1.0533333333333332,1.0533333333333332,1.0533333333333332,7.945205479452055,8.698630136986301,6.0843373493975905,6.072289156626506,6.036144578313253,7,1,1,0,2,4,3,0,4,1.0,1.0,7.0,4.0,1.0,12.0,1,9.0,5.0,1,0.6,0.2,0.7831325301204819,0.024096385542168676,0.7831325301204819,0.14457831325301204,0.07317073170731707,0.0,0.5333333333333333,0.4666666666666667,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4,0.2,0.0,0.13333333333333333
00140202,158.32258064516128,31.635416666666668,4.260416666666667,0.25,0.0,196.31537878204756,261.0364297859131,95278.29687185829,1.9791666666666667,0.0,0.10416666666666667,0.19791666666666666,1.6770833333333333,1.1458333333333333,0.10416666666666667,1.1458333333333333,0.3181818181818182,0.056818181818181816,0.13541666666666666,0.0,0.0,0.0625,0.03125,0.0,0.0,2012.7391304347825,,2020.0,218.22340425531914,,76.12765957446808,1.0,1.3229166666666667,1.6770833333333333,4.677083333333333,3.8854166666666665,3.21875,3.53125,3.46875,4.979166666666667,4.791666666666667,7.0,4.829787234042553,1.0769230769230769,2.739130434782609,,5.0,2.9565217391304346,,3.8,1.036144578313253,1.1538461538461537,1.1764705882352942,1.0,1.0975609756097562,1.0769230769230769,1.1111111111111112,1.0898876404494382,1.0340909090909092,7.735849056603773,8.39622641509434,5.088888888888889,4.788888888888889,4.822222222222222,6,1,1,3,4,4,0,0,4,1.0,1.0,1.0,7.0,4.0,12.0,1,9.0,5.0,1,0.631578947368421,0.2,0.7604166666666666,0.10416666666666667,0.7604166666666666,0.19791666666666666,0.0,0.02127659574468085,0.0,0.5,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.325,0.475,0.125,0.0,0.075
00140300,199.8125,33.46666666666667,2.3666666666666667,0.6,0.13333333333333333,238.6089087289346,324.5125028146142,118447.06352733419,1.6,0.0,0.06666666666666667,0.0,1.5333333333333334,1.2,0.0,1.2,0.6666666666666666,0.4666666666666667,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2004.5,,2019.0,1549.24,300.0,726.25,1.0,1.5666666666666667,2.3333333333333335,4.333333333333333,3.8333333333333335,3.466666666666667,3.4,3.2,5.0,4.966666666666667,7.0,9.958333333333334,1.1333333333333333,1.0,,4.0,2.8333333333333335,,2.0,1.3103448275862069,1.896551724137931,1.4642857142857142,1.0,1.0,1.206896551724138,1.68,1.6551724137931034,1.4482758620689655,7.555555555555555,7.851851851851852,5.214285714285714,5.071428571428571,4.821428571428571,6,2,3,3,4,3,3,0,0,1.0,9.0,8.0,6.0,4.0,12.0,1,9.0,8.0,1,0.6,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
00140301,169.76,37.6578947368421,3.6578947368421053,0.2631578947368421,0.0,249.4736370802673,324.20338934549807,118334.23711110679,1.8157894736842106,0.14473684210526316,0.21052631578947367,0.02631578947368421,1.4342105263157894,1.131578947368421,0.19736842105263158,1.131578947368421,0.7361111111111112,0.041666666666666664,0.35526315789473684,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.0,2008.1363636363637,2013.0,,432.02702702702703,,172.48648648648648,1.0,1.605263157894737,1.881578947368421,4.565789473684211,3.8684210526315788,3.9210526315789473,3.1184210526315788,3.1973684210526314,4.947368421052632,4.973684210526316,7.0,5.108108108108108,1.7361111111111112,1.7045454545454546,3.0,,2.6818181818181817,3.0,,1.2638888888888888,1.0833333333333333,1.1875,1.1805555555555556,1.0943396226415094,1.0,1.0454545454545454,1.0285714285714285,1.303030303030303,7.32258064516129,6.935483870967742,4.194444444444445,3.9166666666666665,3.8055555555555554,8,1,1,0,2,4,3,0,0,1.0,1.0,1.0,1.0,1.0,12.0,1,9.0,5.0,1,0.7142857142857143,0.3,0.6447368421052632,0.14473684210526316,0.6447368421052632,0.14473684210526316,0.04054054054054054,0.0,0.3142857142857143,0.17142857142857143,0.0,0.6,0.5,0.12,0.0,0.07407407407407407,0.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855
