gm_naam,a_inw
Almere,8.757645791729306
Waterland,7.06211321183217
Sliedrecht,6.413374247189294
Oostzaan,6.16789572972046
Edam-Volendam,5.890384876920985
Oudewater,5.569832584196469
Drimmelen,4.954274282856429
Wormerland,4.848004494652567
Landsmeer,4.80022782286772
Wijdemeren,4.7460604913911935
Hardinxveld-Giessendam,4.583504308576118
Geertruidenberg,4.46624638030888
Zaanstad,4.404038442261427
Schiermonnikoog,4.337737127371274
Waalwijk,4.121933641192643
Papendrecht,4.0672435513516865
Huizen,3.9814725036764114
Molenlanden,3.939977709380513
Krimpenerwaard,3.9168158974062735
Goeree-Overflakkee,3.8892084006462038
Krimpen aan den IJssel,3.861551669603723
Purmerend,3.827327311352038
Loon op Zand,3.6253361721201256
Beuningen,3.5550104763936115
Hendrik-Ido-Ambacht,3.5411401582632474
Alblasserdam,3.5003929530421116
Ridderkerk,3.453507638732869
Berg en Dal,3.452436958976289
Druten,3.3806920119607007
Oosterhout,3.3064197817506384
Zuidplas,3.301753614346722
Dordrecht,3.297150182265361
Vijfheerenlanden,3.2932975157072133
Lopik,3.2716371220020855
West Maas en Waal,3.267796328598721
Blaricum,3.251601708489055
Roerdalen,3.127233508257944
Gouda,3.101097189089187
Maasdriel,3.063416821472039
Moerdijk,3.05967774723575
Zwijndrecht,3.0270328303395577
Gooise Meren,3.0227408274612886
Montfoort,3.01706394792265
Baarn,2.9509715077693968
Velsen,2.9205972175093313
Woerden,2.906986207889613
Hoeksche Waard,2.8978849046442963
Dongen,2.869546568627451
Ameland,2.855531453362256
Bodegraven-Reeuwijk,2.779134682484299
Altena,2.759917071395984
Hillegom,2.6984692589788133
Lisse,2.6736744583808436
IJsselstein,2.6482650156277994
Lelystad,2.6329228780317417
Duiven,2.621237234668235
Stichtse Vecht,2.6073504594037127
Terneuzen,2.5987220989585227
Gilze en Rijen,2.5366778565211985
Ouder-Amstel,2.534550378186572
Eemnes,2.484805334629945
Hoorn,2.4684018329595916
Zeewolde,2.459445390210617
Laren,2.4519600307455804
West Betuwe,2.4424493408781967
Waddinxveen,2.427363621493416
Capelle aan den IJssel,2.3909471721014226
Zevenaar,2.340083039143853
Zaltbommel,2.3305401190502337
Nissewaard,2.31809928871112
Hilversum,2.2486578775355666
Alphen aan den Rijn,2.1766193120441897
Drechterland,2.1277587052476705
De Fryske Marren,2.1204280804350057
Heusden,2.1064441050258202
Diemen,2.092059780398536
Gennep,2.085796318189495
De Ronde Venen,2.0710587133955474
Lingewaard,2.016554888810448
Breda,2.0012496915997127
Voorschoten,1.997077922077922
Kaag en Braassem,1.9659231433304556
Wijchen,1.8726782576602454
Aalsmeer,1.86469811377819
Neder-Betuwe,1.8624317136756057
Zeist,1.8378206635678154
Bunschoten,1.827864602622028
Haarlemmermeer,1.819141507496406
Uithoorn,1.8096949648525718
Renkum,1.7933090462372652
Culemborg,1.7917685046079332
Medemblik,1.7686887632068709
Nieuwkoop,1.7604223248234656
Amstelveen,1.7562744260431487
Stede Broec,1.7375598302176465
Midden-Groningen,1.7351044300884284
Noordwijk,1.714382692364452
Etten-Leur,1.7031738434616133
Hulst,1.6964404343467285
Oss,1.6821376007228397
Urk,1.667430037099803
Beverwijk,1.660175913713309
Amsterdam,1.6521502153138454
Noordoostpolder,1.6303444299945031
Steenbergen,1.6132113821138212
Tiel,1.604456301488824
Overbetuwe,1.595112805107536
Schouwen-Duiveland,1.5738794167566734
Soest,1.5646342148899695
's-Hertogenbosch,1.5522725888847129
Tholen,1.5192893085668138
Nieuwegein,1.513595304690724
Súdwest-Fryslân,1.497856328141332
Wijk bij Duurstede,1.4913170325090304
Koggenland,1.487796581341951
Het Hogeland,1.4828005079785767
Bergen op Zoom,1.4784911103688967
Haarlem,1.4779678370528921
Dijk en Waard,1.46768694739997
Tytsjerksteradiel,1.4503718638453704
Mook en Middelaar,1.4488459785356151
Enkhuizen,1.4334892753111483
Eemsdelta,1.4328885429135854
Alkmaar,1.4203752935706537
Montferland,1.4123213753084412
De Bilt,1.3963416486888882
Terschelling,1.3768361199485548
Heerenveen,1.33105669853525
Heumen,1.3028880437366295
Teylingen,1.282449686215105
Zoetermeer,1.2815815306117093
Houten,1.2636178500108746
Wageningen,1.2452691979001342
Weert,1.22104870042653
Roermond,1.195246802763435
Utrechtse Heuvelrug,1.1895302563560162
Buren,1.151307484220018
Oldebroek,1.1471614640580348
Waadhoeke,1.1467163284527786
Borsele,1.1330474573344462
Harderwijk,1.1201355137320128
Westervoort,1.1117113938565348
Voorne aan Zee,1.108385933273219
Uitgeest,1.107441492256692
Amersfoort,1.100966412951302
Hollands Kroon,1.0877965553052884
Nijmegen,1.083186438820338
Wassenaar,1.0794044665012408
Vaals,1.0703534031413613
Rhenen,1.0691808437407808
Dantumadiel,1.049088919383696
Westerkwartier,1.0272728205865145
Rheden,1.010442965343126
Albrandswaard,1.0102185350060704
Ede,0.9929871435518328
Landgraaf,0.9881187230989957
Rotterdam,0.9821326357437664
Vlieland,0.9803668302764144
