bu_code,a_inw
BU00140000,8810
BU00140001,13140
BU00140002,8320
BU00140003,1700
BU00140004,20
BU00140005,11750
BU00140008,1290
BU00140100,7080
BU00140101,19700
BU00140102,6320
BU00140103,13620
BU00140104,6945
BU00140105,2625
BU00140106,7380
BU00140107,3705
BU00140108,45
BU00140109,15
BU00140110,460
BU00140200,2585
BU00140201,3815
BU00140202,5475
BU00140203,2285
BU00140300,8210
BU00140301,16340
BU00140302,12050
BU00140400,13965
BU00140401,8790
BU00140402,5590
BU00140403,4335
BU00140404,2640
BU00140500,1860
BU00140501,2660
BU00140502,495
BU00140503,2840
BU00140504,390
BU00140505,120
BU00140506,120
BU00140507,220
BU00140508,560
BU00140511,10
BU00140600,4300
BU00140601,9255
BU00140602,2460
BU00140603,2925
BU00140604,18030
BU00140605,23675
BU00140606,10305
BU00140700,13350
BU00140701,12765
BU00140702,2220
BU00140703,150
BU00140704,3615
BU00140705,70
BU00140800,3530
BU00140801,5190
BU00140802,15
BU00140803,375
BU00140804,160
BU00140805,260
BU00140806,6495
BU00140809,705
BU00140810,3130
BU00140811,10
BU00140812,670
BU00140900,11890
BU00140901,9670
BU00140902,110
BU00140903,1650
BU00140904,8550
BU00140905,320
BU00140906,4960
BU00140907,100
BU00140908,1200
BU00140909,60
BU00141000,6210
BU00141001,5255
BU00141002,6060
BU00141003,10
BU00141004,30
BU00141005,1490
BU00141100,17655
BU00141101,12250
BU00141102,7140
BU00141103,2730
BU00141104,810
BU00141105,135
BU00141106,225
BU00141107,15
BU00141200,14480
BU00141201,10155
BU00141202,6860
BU00141203,6525
BU00141204,6795
BU00141206,860
BU00141208,3660
BU00141209,380
BU00141210,2350
BU00141211,3765
BU00141300,550
BU00141301,2730
BU00141302,400
BU00141400,8325
BU00141401,820
BU00141402,640
BU00141403,2730
BU00141404,6810
BU00141405,1300
BU00141500,26520
BU00141501,595
BU00141502,3060
BU00141503,1665
BU00141504,1665
BU00141505,400
BU00141506,225
BU00141600,1140
BU00141601,210
BU00141602,1750
BU00141603,630
BU00141604,130
BU00141605,340
BU00141700,2320
BU00141701,7870
BU00141702,7220
BU00141703,7820
BU00141704,380
BU00141705,30
BU00141706,105
BU00141707,470
BU00141708,760
BU00141800,4265
BU00141801,775
BU00141802,30
BU00141900,3285
BU00141901,870
BU00141902,730
BU00141903,825
BU00141904,1320
BU00141905,340
BU00141906,15
BU00141907,15
BU00340101,3080
BU00340102,4850
BU00340201,1725
BU00340202,2070
BU00340203,1650
BU00340204,1500
BU00340205,2180
BU00340301,2640
BU00340302,3380
BU00340303,4020
BU00340401,2115
BU00340402,2355
BU00340403,2205
BU00340501,2670
BU00340502,2595
BU00340503,1665
BU00340601,2770
BU00340602,3270
BU00340603,990
BU00340701,3195
BU00340702,2080
BU00340703,4500
BU00340801,3940
BU00340802,4360
BU00340803,7700
BU00340901,2650
BU00340902,5050
BU00341001,2100
BU00341101,2520
BU00341102,1680
BU00341401,160
BU00341601,10
BU00341701,1320
BU00341702,830
BU00341703,1320
BU00341704,2330
BU00341705,3690
BU00341801,1370
BU00341802,1345
BU00341803,1545
BU00341804,3970
BU00341805,4750
BU00341806,3650
BU00341808,10
BU00341901,1675
BU00341902,2170
BU00341903,1180
BU00341904,1280
BU00342001,1765
BU00342002,1885
BU00342003,1225
BU00342004,600
BU00342102,1370
BU00342203,975
BU00342405,2305
BU00342501,905
BU00342502,865
BU00342503,675
BU00342601,1050
BU00342602,1580
BU00342603,1815
BU00342604,1190
BU00342605,830
BU00342606,1340
BU00342607,125
BU00342701,4200
BU00342702,2740
BU00342703,5680
BU00342704,6435
BU00342705,5670
BU00342706,15
BU00342801,3570
BU00342802,4875
BU00342803,1410
BU00342804,5280
BU00342805,3525
BU00342806,5460
BU00342807,4020
BU00342808,5040
BU00342809,180
BU00342901,5250
BU00342902,8940
BU00342903,3990
BU00342904,345
BU00343001,6090
BU00343002,4545
BU00343003,5490
BU00343004,6345
BU00343005,6060
BU00343006,360
BU00343007,90
BU00343104,4500
BU00343105,3280
BU00343201,140
BU00343401,10
BU00343402,70
BU00343403,5
BU00343501,5
BU00343502,20
BU00343701,450
BU00344201,1060
BU00344202,2260
BU00344203,2485
BU00344301,1015
BU00344302,1625
BU00344303,2395
BU00344901,2370
BU00344902,1055
BU00344903,1815
BU00345002,1645
BU00345101,1415
BU00345102,1495
BU00345103,1195
BU00345104,1790
BU00345105,110
BU00345701,5
BU00345702,5
BU00345801,200
BU00345901,30
BU00345902,5
BU00346001,1880
BU00346101,12675
BU00346102,5375
BU00346103,7230
BU00346201,7560
BU00346202,6350
BU00346301,7625
BU00346302,7635
BU00346303,5620
BU00346304,7260
BU00346501,5280
BU00346601,6275
BU00346602,7480
BU00347501,1100
BU00347502,2080
BU00347603,2405
BU00347604,5
BU00347701,2035
BU00347702,5170
BU00348501,100
BU00348502,195
BU00349615,15
BU00370109,985
BU00370110,1570
BU00370111,885
BU00370300,1985
BU00370301,135
BU00370308,255
BU00370500,1820
BU00370509,540
BU00470000,10560
BU00470001,13340
BU00470002,3300
BU00470003,9575
BU00470004,5400
BU00470005,23940
BU00470006,300
BU00470007,8700
BU00470100,430
BU00470101,3105
BU00470102,400
BU00470109,420
BU00470200,8775
BU00470201,1395
BU00470202,275
BU00470203,90
BU00470209,3300
BU00500000,5310
BU00500001,10635
BU00500002,19660
BU00500003,18570
BU00500004,10350
BU00500006,4940
BU00500007,1815
BU00500008,185
BU00500009,210
BU00590000,10400
BU00590002,2125
BU00590004,715
BU00590005,1410
BU00590006,95
BU00590009,70
BU00590100,245
BU00590102,2970
BU00590103,3060
BU00590107,70
BU00590108,390
BU00590109,555
BU00590200,5675
BU00590201,8020
BU00590202,1740
BU00590203,1470
BU00590206,850
BU00590207,310
BU00590208,790
BU00590209,930
BU00720009,170
BU00720100,505
BU00720200,330
BU00720209,160
BU00740100,3810
BU00740101,3035
BU00740102,3725
BU00740103,3200
