gm_naam,pop_in_30,potential,mean_det
's-Gravenhage,5408730,5185440.082136039,1.1638520452901935
's-Hertogenbosch,651295,758569.3536362551,1.2096285248228393
Aa en Hunze,10005,40385.55383834984,1.1592563203906436
Aalsmeer,103985,236443.3485825667,1.2060410078565305
Aalten,86400,80525.952828835,1.1335146659066995
Achtkarspelen,49405,67486.46200968653,1.2028597952752058
Alblasserdam,109925,118885.41836302154,1.233536894061177
Albrandswaard,105955,134855.38060176338,1.1984329666087628
Alkmaar,428830,596774.9169535359,1.2080529035214653
Almelo,406715,478292.28075103153,1.1537477942947219
Almere,1287550,1573831.7644453705,1.3210124974942685
Alphen aan den Rijn,650025,921894.7609230127,1.2262421977400313
Alphen-Chaam,2165,17173.56258410582,1.1650874866680119
Altena,57620,154870.57869592076,1.2483463967164665
Ameland,0,5.722795735679489,1.588581690140845
Amersfoort,1364185,1552513.7687977396,1.1942710275576145
Amstelveen,990005,959448.9601628805,1.2080656490817505
Amsterdam,11039160,11448121.62449884,1.1960687236654144
Apeldoorn,711445,958550.2687809435,1.1544610122845114
Arnhem,1582585,1636768.292706966,1.1650420163268012
Assen,69370,123980.44822069547,1.1612067814289044
Asten,34335,51707.01055917712,1.1669496822987677
Baarle-Nassau,0,6772.230376479216,1.1459429421979657
Baarn,250130,261451.20030114858,1.2053403053421616
Barendrecht,274970,349485.2685878861,1.1945424257915533
Barneveld,294250,479513.41652575275,1.1595032231933282
Beek,196435,168147.710296074,1.1692901776384534
Beekdaelen,447510,361323.59792814904,1.1914658508942302
Beesel,42425,44845.455645485345,1.1424280973451328
Berg en Dal,132175,152546.8316906222,1.248383144981438
Bergeijk,0,19153.22507998887,1.1607961306993981
Bergen (L.),11680,19793.708581603078,1.1704708834169681
Bergen (NH.),99855,112910.55753305132,1.18645113994923
Bergen op Zoom,69520,120016.18809139373,1.2763918597020005
Berkelland,51195,135245.3280878309,1.144390343845712
Bernheze,51085,106048.16181508245,1.193838049024968
Best,96320,111822.33938086283,1.151351452709383
Beuningen,176375,181007.72899397844,1.2387000663733132
Beverwijk,237360,337271.4511621903,1.2111832658802961
Bladel,0,20009.184101170773,1.13881785300127
Blaricum,60950,92662.02658717937,1.2155037389372811
Bloemendaal,223790,234540.93712271258,1.1854266833121707
Bodegraven-Reeuwijk,275005,297635.7433594262,1.230053736864019
Boekel,0,22655.448254644587,1.1780492599925236
Borger-Odoorn,7080,25646.853790748282,1.1707553401228132
Borne,194420,173802.19097887218,1.1384738510419867
Borsele,31400,40560.9591439188,1.2773240688005467
Boxtel,104405,130042.81988420582,1.1614974819624018
Breda,565415,673241.1809099824,1.2253855173694639
Bronckhorst,106260,162013.67862039906,1.1667026220407255
Brummen,86360,121159.30425259784,1.1677243095347674
Brunssum,313085,247176.43382218704,1.1887797263906466
Bunnik,175595,169554.72934330808,1.1920462687952478
Bunschoten,106930,148908.68422974175,1.2118147264511456
Buren,81840,143563.60404444888,1.2010682585474988
Capelle aan den IJssel,530435,596811.5964224652,1.2325563267039323
Castricum,240355,246807.05102807636,1.1834519963634909
Coevorden,89380,100693.93691437546,1.1847489106148077
Cranendonck,40820,43670.429675783154,1.1976765197036954
Culemborg,94695,157833.66689322356,1.2147275290135273
Dalfsen,46235,87566.53045830216,1.1754707001268103
Dantumadiel,62610,56976.382973511034,1.2356512761868457
De Bilt,605755,557537.5358096483,1.1978977588980433
De Fryske Marren,25730,74006.56497392622,1.2948637448901152
De Ronde Venen,131920,327347.0404820186,1.2114719348028586
De Wolden,21155,37245.998617446356,1.1777211589737513
Delft,1078765,1014679.7930016553,1.1815095715197033
Den Helder,137325,131956.75156066893,1.2088452940470866
Deurne,89130,114442.25086881191,1.1404206335914249
Deventer,366100,565209.4585276039,1.1499896593126036
Diemen,452295,463950.9191232963,1.1936933653671313
Dijk en Waard,357755,407726.9991484547,1.2144774641994422
Dinkelland,42220,66759.1639461513,1.1630030880927742
Doesburg,49390,65943.96742430997,1.1969284835007743
Doetinchem,299295,349792.3284837684,1.187851150965555
Dongen,63505,80272.71670127871,1.242170709259864
Dordrecht,736910,881043.4388730202,1.243228571092285
Drechterland,110725,83992.52536160304,1.3166355600126283
Drimmelen,41685,78990.17825839164,1.331539473759819
Dronten,43105,78618.82381609829,1.2216560469050073
Druten,2395,73172.0909668722,1.2489060856214045
Duiven,204465,196731.23676272758,1.2070290108766202
Echt-Susteren,86320,140989.89677343177,1.1813146943653257
Edam-Volendam,101630,147988.3791779721,1.374695213881083
Ede,792025,977580.4572538619,1.1664049527827323
Eemnes,73540,82489.56518143532,1.2165613704819278
Eemsdelta,171555,215768.98329436235,1.2413493256346093
Eersel,5135,28469.202272888935,1.1442271399083184
Eijsden-Margraten,150215,147557.0621176313,1.1500703077450452
Eindhoven,1149825,1133811.0977459694,1.1444469008433635
Elburg,52365,71052.22331094678,1.1889091933212632
Emmen,263750,238473.556855609,1.1879754942912837
Enkhuizen,75520,71885.7725404573,1.255177006909324
Enschede,1020945,884135.7118251597,1.1471925041154727
Epe,51515,105110.80146818775,1.1748373466270265
Ermelo,81430,130039.0452904738,1.176839753589086
Etten-Leur,198985,167545.63401898043,1.217925575014043
Geertruidenberg,0,47024.54791421329,1.3172937777749683
Geldrop-Mierlo,283255,221110.6021694362,1.15901063930204
Gemert-Bakel,45020,89355.91913450541,1.1575844534772473
Gennep,38705,46082.88066756573,1.2179355692097626
Gilze en Rijen,96080,94006.76354166375,1.214390792059038
Goeree-Overflakkee,0,14328.258998069394,1.3710114326282805
Goes,80240,96888.99654041759,1.2097304257370476
Goirle,72525,75623.3324073157,1.1430190401529228
Gooise Meren,398635,587521.3817038775,1.20515594841373
Gorinchem,154130,203756.54898473166,1.2004261968812195
